id_sinistre_cede,id_traite,cedante,date_sinistre,montant_cede,statut
SC-0001,TR-0008,ADA Assurance Vie,2026-03-02,87600508.9,En cours
SC-0002,TR-0021,Oméga Assurance,2022-08-15,41328796.42,Réglé
SC-0003,TR-0001,Oméga Assurance,2024-06-25,60694780.1,En cours
SC-0004,TR-0020,ADA Assurance Vie,2025-06-05,77898863.8,Réglé
SC-0005,TR-0010,ADA Assurance Vie,2021-10-07,121507724.28,En cours
SC-0006,TR-0006,ADA Assurance Vie,2021-12-16,33686016.67,Déclaré
SC-0007,TR-0020,ADA Assurance Vie,2023-08-05,41255263.56,Déclaré
SC-0008,TR-0020,ADA Assurance Vie,2023-05-20,35107622.51,En cours
SC-0009,TR-0021,Oméga Assurance,2025-02-28,67862522.38,Déclaré
SC-0010,TR-0012,ADA Assurance Vie,2025-04-04,144039015.94,En cours
SC-0011,TR-0014,ADA Assurance Vie,2022-06-14,144404205.84,Déclaré
SC-0012,TR-0014,ADA Assurance Vie,2022-11-27,120715741.89,Réglé
SC-0013,TR-0003,Oméga Assurance,2023-08-10,32362946.98,Réglé
SC-0014,TR-0017,Oméga Assurance,2021-09-04,11019879.7,En cours
SC-0015,TR-0006,ADA Assurance Vie,2023-10-06,115017175.34,Réglé
SC-0016,TR-0006,ADA Assurance Vie,2025-01-27,44306002.37,En cours
SC-0017,TR-0006,ADA Assurance Vie,2024-06-19,74939618.28,Réglé
SC-0018,TR-0006,ADA Assurance Vie,2021-07-13,101325098.63,Réglé
SC-0019,TR-0013,Oméga Assurance,2021-06-21,95229216.21,En cours
SC-0020,TR-0024,ADA Assurance Vie,2021-11-24,24668482.16,Déclaré
SC-0021,TR-0012,ADA Assurance Vie,2025-05-31,121980797.68,Déclaré
SC-0022,TR-0024,ADA Assurance Vie,2024-12-01,8726881.39,Déclaré
SC-0023,TR-0017,Oméga Assurance,2024-03-27,19804711.38,Réglé
SC-0024,TR-0015,Oméga Assurance,2023-07-27,28524030.68,En cours
SC-0025,TR-0005,Oméga Assurance,2022-02-10,140148873.76,En cours
SC-0026,TR-0006,ADA Assurance Vie,2022-04-29,111952593.04,Réglé
SC-0027,TR-0002,ADA Assurance Vie,2022-07-06,121240283.0,Réglé
SC-0028,TR-0001,Oméga Assurance,2022-10-15,73802773.87,Réglé
SC-0029,TR-0002,ADA Assurance Vie,2023-02-22,30768235.09,Réglé
SC-0030,TR-0006,ADA Assurance Vie,2026-05-03,132067177.42,Déclaré
SC-0031,TR-0021,Oméga Assurance,2025-08-17,,En cours
SC-0032,TR-0009,Oméga Assurance,2024-10-22,37461838.27,Réglé
SC-0033,TR-0015,Oméga Assurance,2021-03-07,144437673.46,Réglé
SC-0034,TR-0006,ADA Assurance Vie,2022-02-07,42299820.24,Déclaré
SC-0035,TR-0021,Oméga Assurance,2021-03-27,50027869.36,Déclaré
SC-0036,TR-0009,Oméga Assurance,2024-12-30,1692060.91,Déclaré
SC-0037,TR-0017,Oméga Assurance,2021-06-26,112674139.17,Déclaré
SC-0038,TR-0006,ADA Assurance Vie,2024-05-31,99745515.74,Déclaré
SC-0039,TR-0002,ADA Assurance Vie,2021-11-23,38024320.08,Déclaré
SC-0040,TR-0020,ADA Assurance Vie,2025-05-30,77744439.6,En cours
SC-0041,TR-0024,ADA Assurance Vie,2021-10-25,122618813.61,Déclaré
SC-0042,TR-0010,ADA Assurance Vie,2023-09-13,54514141.98,En cours
SC-0043,TR-0011,Oméga Assurance,2023-04-06,135142116.92,Réglé
SC-0044,TR-0005,Oméga Assurance,2021-09-16,37123673.13,Réglé
SC-0045,TR-0009,Oméga Assurance,2021-07-17,42268191.2,En cours
SC-0046,TR-0018,ADA Assurance Vie,2024-07-26,69988398.03,Déclaré
SC-0047,TR-0014,ADA Assurance Vie,2025-12-25,37286301.87,Réglé
SC-0048,TR-0003,Oméga Assurance,2023-03-16,72648521.76,Déclaré
SC-0049,TR-0009,Oméga Assurance,2022-11-05,35464995.0,Réglé
SC-0050,TR-0003,Oméga Assurance,2026-01-30,46231033.13,Réglé
SC-0051,TR-0011,Oméga Assurance,2022-11-18,59971877.06,En cours
SC-0052,TR-0008,ADA Assurance Vie,2023-12-27,46225073.69,Déclaré
SC-0053,TR-0011,Oméga Assurance,2023-06-09,129179152.3,Déclaré
SC-0054,TR-0004,ADA Assurance Vie,2025-11-04,60693699.0,En cours
SC-0055,TR-0014,ADA Assurance Vie,2022-06-21,110767244.32,Réglé
SC-0056,TR-0023,Oméga Assurance,2026-01-16,142916533.59,Déclaré
SC-0008,TR-0020,ADA Assurance Vie,2023-05-20,35107622.51,En cours
SC-0040,TR-0020,ADA Assurance Vie,2025-05-30,77744439.6,En cours
