id_sinistre,id_contrat,branche,type_sinistre,charge_sinistre,date_survenance,date_declaration,annee_survenance,mois_survenance,statut,delai_reglement_jours,cause_principale,region,gravite
SI-000001,IARD-082061,Auto,Collision,162000,2019-06-20,2019-08-01,2019,6,Réglé,315,Inconnu,Touba,Moyen
SI-000002,IARD-060422,Auto,Vol,373000,2022-06-08,2022-07-01,2022,6,En cours,,Tiers non identifié,Abengourou,Moyen
SI-000003,IARD-018997,Habitation,Vandalisme,350000,2024-06-17,2024-07-27,2024,6,Réglé,288,Tiers non identifié,Gagnoa,Moyen
SI-000004,IARD-090249,RC,Pollution accidentelle,1432000,2021-02-10,2021-02-10,2021,2,Réglé,365,Inconnu,Danané,Grave
SI-000005,IARD-023235,Habitation,Dégât des eaux,818000,2024-04-21,2024-05-20,2024,4,En cours,,Tiers non identifié,Odienné,Grave
SI-000006,IARD-000478,RC,Dommage tiers matériel,1313000,2020-01-02,2020-01-07,2020,1,En cours,,Inconnu,Daloa,Grave
SI-000007,IARD-072186,Habitation,Vol/Cambriolage,857000,2024-11-15,2024-12-08,2024,11,Sans suite,,Intempéries,Séguéla,Grave
SI-000008,IARD-051520,Auto,Collision,677000,2022-03-16,2022-04-03,2022,3,En cours,,Inconnu,Odienné,Grave
SI-000009,IARD-008737,Habitation,Dégât des eaux,78000,2022-05-22,2022-05-30,2022,5,Sans suite,,Tiers non identifié,Abengourou,Mineur
SI-000010,IARD-096004,Auto,Collision,447000,2020-01-22,2020-01-27,2020,1,En cours,,Tiers non identifié,Yamoussoukro,Moyen
SI-000011,IARD-090973,Auto,Incendie,1758000,2023-09-11,2023-09-23,2023,9,Réglé,324,Inconnu,Korhogo,Grave
SI-000012,IARD-095303,Auto,Collision,291000,2021-10-18,2021-11-18,2021,10,Réglé,171,Animal,Divo,Moyen
SI-000013,IARD-090795,Habitation,Dégât des eaux,1138000,2023-07-18,2023-07-24,2023,7,En cours,,Défaut entretien,Gagnoa,Grave
SI-000014,IARD-048929,RC,Dommage tiers corporel,1824000,2021-04-26,2021-05-24,2021,4,Réglé,23,Intempéries,Abidjan,Grave
SI-000015,IARD-031248,RC,Dommage tiers matériel,2168000,2020-06-16,2020-06-22,2020,6,Contesté,,Défaut entretien,Odienné,Grave
SI-000016,IARD-010662,Auto,Vol,1128000,2021-05-19,2021-06-11,2021,5,Réglé,304,Animal,Abengourou,Grave
SI-000017,IARD-003576,Habitation,Dégât des eaux,283000,2021-05-09,2021-05-23,2021,5,Sans suite,,Défaut entretien,Yamoussoukro,Moyen
SI-000018,IARD-077259,RC,Dommage tiers corporel,84000,2021-06-13,2021-07-09,2021,6,Réglé,81,Défaut entretien,San Pedro,Mineur
SI-000019,IARD-044212,Auto,Collision,800000,2020-01-08,2020-02-08,2020,1,Réglé,128,Défaut entretien,Abengourou,Grave
SI-000020,IARD-014712,Auto,Vol,1500000,2023-08-08,2023-09-20,2023,8,En cours,,Défaut entretien,Daloa,Grave
SI-000021,IARD-076697,Habitation,Tempête,1147000,2023-11-03,2023-12-11,2023,11,Réglé,173,Inconnu,Odienné,Grave
SI-000022,IARD-098088,RC,Dommage tiers matériel,860000,2020-12-19,2020-12-31,2020,12,En cours,,Animal,Gagnoa,Grave
SI-000023,IARD-036343,Auto,Dommage tiers,243000,2021-05-26,2021-07-04,2021,5,En cours,,Tiers non identifié,Abengourou,Moyen
SI-000024,IARD-072330,Auto,Collision,1262000,2021-05-14,2021-06-28,2021,5,En cours,,Défaut entretien,Daloa,Grave
SI-000025,IARD-031046,Habitation,Tempête,367000,2022-06-09,2022-07-07,2022,6,Réglé,36,Intempéries,Yamoussoukro,Moyen
SI-000026,IARD-027422,Auto,Bris de glace,576000,2023-01-19,2023-02-16,2023,1,Réglé,124,Conducteur tiers,Danané,Grave
SI-000027,IARD-022079,RC,Préjudice moral,1185000,2020-11-02,2020-11-07,2020,11,En cours,,Tiers non identifié,Divo,Grave
SI-000028,IARD-072580,Auto,Incendie,1385000,2020-09-15,2020-10-17,2020,9,En cours,,Animal,Danané,Grave
SI-000029,IARD-050463,Auto,Collision,1753000,2024-02-20,2024-03-03,2024,2,En cours,,Animal,Danané,Grave
SI-000030,IARD-008795,Habitation,Catastrophe naturelle,541000,2021-04-23,2021-05-14,2021,4,Contesté,,Conducteur tiers,Korhogo,Grave
SI-000031,IARD-075342,Auto,Collision,971000,2022-10-30,2022-11-03,2022,10,En cours,,Tiers non identifié,Soubré,Grave
SI-000032,IARD-012332,Auto,Collision,915000,2020-04-14,2020-05-28,2020,4,Réglé,148,Défaut entretien,Bouaké,Grave
SI-000033,IARD-078310,Auto,Incendie,1040000,2022-12-11,2022-12-16,2022,12,Réglé,119,Inconnu,Abengourou,Grave
SI-000034,IARD-053278,RC,Préjudice moral,566000,2023-02-28,2023-03-09,2023,2,Réglé,58,Conducteur tiers,Abidjan,Grave
SI-000035,IARD-077730,Auto,Collision,62000,2024-07-25,2024-08-03,2024,7,En cours,,Défaut entretien,Abidjan,Mineur
SI-000036,IARD-036473,Auto,Collision,1275000,2020-04-05,2020-05-08,2020,4,Réglé,169,Inconnu,Yamoussoukro,Grave
SI-000037,IARD-059172,Auto,Bris de glace,1633000,2024-12-31,2024-12-31,2024,12,Réglé,65,Conducteur tiers,Man,Grave
SI-000038,IARD-060325,Habitation,Dégât des eaux,724000,2023-11-25,2023-12-27,2023,11,En cours,,Tiers non identifié,Korhogo,Grave
SI-000039,IARD-003283,Auto,Vol,1781000,2024-03-13,2024-03-31,2024,3,Réglé,157,Tiers non identifié,Abidjan,Grave
SI-000040,IARD-027929,RC,Dommage tiers matériel,709000,2023-05-05,2023-05-07,2023,5,Réglé,183,Inconnu,Gagnoa,Grave
SI-000041,IARD-082691,Auto,Collision,1774000,2019-04-16,2019-05-01,2019,4,En cours,,Inconnu,Abidjan,Grave
SI-000042,IARD-078220,Auto,Bris de glace,1550000,2020-03-13,2020-04-20,2020,3,Réglé,246,Tiers non identifié,Soubré,Grave
SI-000043,IARD-078852,Auto,Collision,1669000,2022-02-01,2022-02-07,2022,2,Réglé,19,Intempéries,Abidjan,Grave
SI-000044,IARD-048840,Auto,Collision,1092000,2020-11-13,2020-12-26,2020,11,Réglé,289,Animal,Bondoukou,Grave
SI-000045,IARD-009784,Auto,Dommage tiers,578000,2024-04-03,2024-04-14,2024,4,Réglé,206,Défaut entretien,Korhogo,Grave
SI-000046,IARD-073960,Auto,Incendie,686000,2021-03-24,2021-04-13,2021,3,Réglé,12,Tiers non identifié,Daloa,Grave
SI-000047,IARD-022469,RC,Blessures corporelles,1794000,2019-01-29,2019-02-08,2019,1,Réglé,323,Animal,Abidjan,Grave
SI-000048,IARD-050538,RC,Préjudice moral,126000,2021-10-31,2021-11-16,2021,10,Sans suite,,Défaut entretien,Touba,Moyen
SI-000049,IARD-044385,Habitation,Incendie,457000,2024-05-17,2024-05-17,2024,5,Réglé,147,Inconnu,Man,Moyen
SI-000050,IARD-019058,RC,Dommage tiers matériel,1722000,2023-07-21,2023-08-15,2023,7,Réglé,329,Tiers non identifié,Divo,Grave
SI-000051,IARD-098305,Habitation,Tempête,247000,2019-01-04,2019-01-16,2019,1,En cours,,Tiers non identifié,Divo,Moyen
SI-000052,IARD-056335,Habitation,Incendie,325000,2020-06-15,2020-07-19,2020,6,Sans suite,,Tiers non identifié,Issia,Moyen
SI-000053,IARD-089056,Habitation,Vandalisme,839000,2021-08-15,2021-09-25,2021,8,Réglé,102,Conducteur tiers,Odienné,Grave
SI-000054,IARD-090187,Habitation,Dégât des eaux,437000,2019-07-14,2019-08-18,2019,7,Contesté,,Conducteur tiers,Séguéla,Moyen
SI-000055,IARD-043240,Auto,Vol,390000,2024-08-31,2024-10-02,2024,8,Réglé,182,Tiers non identifié,Touba,Moyen
SI-000056,IARD-073811,Auto,Collision,177000,2022-09-19,2022-11-02,2022,9,Réglé,87,Défaut entretien,Bouaké,Moyen
SI-000057,IARD-072434,Auto,Incendie,351000,2019-01-15,2019-01-16,2019,1,Contesté,,Animal,Gagnoa,Moyen
